RP_AgeGrp,RP_Sex,RP_MarStat,RP_Educ,RP_EmpStat,RP_TotInc,SP_TotInc,HH_TotInc,ED002_C,HC001_C,RE001_C,TC001_C,TE001_C,
02,1,2,3,1,48250,0,57650,2700,1610.4,800,27579.4,38971.4,
04,2,1,3,3,13500,21800,35300,0,1683,996,54488,54738,
04,2,2,3,3,7750,0,7750,0,0,972,4217,4247,
03,2,1,2,3,5800,132700,169100,0,2050,16943.38,140998.38,193695.38,
05,1,1,4,2,77000,0,77000,0,2480,1962.05,42986.25,60036.25,
03,2,1,4,1,66400,81700,148100,18050,5192.2,10140,124188.2,173194.2,
04,1,3,3,2,40000,0,40000,0,696,720,22670,29987,
05,1,3,2,1,47250,0,88350,0,1350,400,32837.04,49123.04,
04,1,3,2,2,47850,0,47850,0,804,544,15777,26008,
04,1,1,3,1,92500,33000,125500,0,7973.6,26828,65497.01,120997.01,
02,1,1,3,2,37000,76000,113000,3550,460,0,29959.09,58616.15,
02,2,2,4,2,13200,0,13200,0,638,200,58176.6,58864.6,
02,1,1,4,1,103325,56950,160275,2000,1002.1,4324,80484.9,128365.9,
04,2,1,2,2,24750,81500,106250,12100,4665,1666.65,55105.32,82733.32,
04,1,1,2,3,68800,100500,169300,0,1590,31129.08,69737.08,115096.9,
04,2,1,1,3,26000,15500,41500,0,2420,768,25207,26008.02,
03,1,1,3,1,92500,33000,125500,0,1300.5,1444,43260.1,79988.1,
06,2,2,2,3,18000,0,18000,0,544.14,0,7853.14,8158.14,
04,1,1,4,3,59075,575,59650,0,252,1200,19018,29618,
02,1,2,3,2,7300,0,7300,0,370,516,67174,67657,
05,1,3,3,2,88150,0,88150,0,1440,588,13607.4,39806.4,
03,2,1,3,2,87500,-9650,94550,150,50,3217.35,122451.91,142172.91,
03,1,1,9,1,93325,129650,222975,150,4550.41,5609,70904,138030,
05,1,2,3,1,57500,0,57500,0,1105,50,20391,34085,
05,1,3,3,3,45400,0,45400,0,0,2080,20035.63,26040.63,
05,2,3,1,3,21100,0,38100,0,100,1200,23803.49,23872.49,
04,2,1,4,1,72575,60825,133400,0,5922,2603,54052,94392.45,
01,2,1,4,1,70000,26000,96000,0,768,1664,22723,40995,
02,1,2,9,1,110050,0,110050,0,1150,2500,55463.72,86019.72,
01,1,1,2,1,102500,87500,190000,0,50.04,2145,55848.1,119959.1,
03,1,1,4,3,0,16500,16500,750,500,1000,39888.72,39888.72,
02,1,1,4,1,105000,60000,165000,0,3295.1,4190,102826.69,135560.69,
05,1,3,1,2,31500,0,31500,0,110,476,11862,16058.69,
03,2,1,3,1,63050,70250,133300,50,3620,1820,101264.2,130262.2,
04,2,3,3,2,24600,0,24600,0,3681.26,1644,24879.26,25686.26,
05,1,1,1,3,34500,18250,52750,0,4940,3541.2,28854.2,34775.04,
05,2,3,1,3,30500,0,30500,0,1759,520.03,14965.23,17665.23,
01,2,2,9,2,5200,0,5200,0,240,0,13493.15,13594.15,
03,1,1,4,1,42750,76600,119350,150,2460,872,41215.32,78438.32,
03,2,1,4,3,28500,51600,80100,350,2985,340,58321.39,70853.39,
05,2,3,3,3,39800,0,39800,0,3301.86,0,31617.21,37327.21,
05,2,2,1,3,20500,0,20500,0,160,288,7078,7993,
06,2,3,2,3,36050,0,36050,0,807.44,648,24002.68,29127.68,
03,1,1,4,1,190125,38225,228350,50,2483,1354.04,48973.64,124839.64,
03,2,3,4,1,55050,0,55050,0,4693,4043,52795,66848,
05,2,3,1,3,18500,0,18500,0,215,392,8957,9167,
01,1,2,2,3,0,0,112400,2001.8,0,1500,60831.52,89461.52,
03,2,3,3,1,114850,0,142150,1220,1503,2518,50747,78612,
03,1,1,4,1,70125,9750,79875,100,4136,1700,43680,55586,
02,1,1,9,1,58400,32200,109600,50,865,894,49238,64535,
04,2,1,2,3,3500,59500,63000,0,3925,1534,33508.36,44938.36,
04,2,1,3,3,43450,42350,85800,0,4484,2966,17445.32,25398.32,
04,2,1,3,3,0,35000,35000,0,3850,10768,77313,80528,
06,2,3,4,3,91000,0,91000,0,455,795,15839.32,39934.32,
04,2,1,3,3,45700,29100,74800,0,813,884,21654,33449,
01,2,2,3,2,20625,0,20625,0,515,95.07,25422.35,28077.35,
01,2,2,2,2,2850,0,22100,7650,3332,630,38910,41147,
02,2,1,3,1,65250,53500,118750,335,1707,1010,40918,64331,
01,1,2,4,1,83225,0,83225,0,120,4360,27692.2,56666.2,
05,1,1,4,3,141750,13750,155500,0,2500.42,1724,108516.85,136096.85,
03,1,2,3,1,39950,0,39950,50,3110,825,17389,28740,
05,2,1,4,3,58250,40150,98400,0,6600,1450,40207,58805,
04,1,3,2,2,5500,0,5500,0,0,0,7001,7061,
03,2,2,4,1,100675,0,100675,0,350,1160,30012,60646,
04,2,1,4,2,126500,72050,198550,0,3214.56,4273.74,94802.22,150989.22,
03,1,2,3,1,65000,0,132975,0,3485,1980.02,41152.02,85163.02,
01,1,1,2,2,90000,22500,112500,0,5696,11050,85451.45,109874.45,
05,2,3,3,2,33500,0,33500,0,1525,0,16340.68,20245.68,
03,2,1,3,1,50000,1075,51075,350,1200,948,92025,130027,
05,1,1,3,2,36800,35750,72550,0,1730,3180,26181.72,34086.72,
02,2,1,4,1,101450,47850,149300,4200,3461,6818,56975,105735,
06,2,3,1,3,21000,0,21000,0,0,360,14365,14600,
03,2,1,4,1,100950,16300,117250,3000,1760.15,3304,54513.71,94606.71,
03,2,2,2,2,12800,0,12800,0,0,1292,13292,14287,
04,2,1,3,3,30000,80000,173350,0,3620,6300.7,51661.1,91787.1,
05,2,1,1,3,12500,43700,76800,0,3888,1544,76523,81318,
02,1,1,3,1,85000,20800,105800,0,7585,3360,72600,105350,
05,1,1,3,1,59150,15400,74550,0,908.12,1104,15580.6,31872.6,
04,1,1,2,1,49000,39000,88000,0,2050,1268,24740,49977,
06,1,3,1,1,86250,0,86250,0,2115,121.06,7464.06,18019.06,
05,1,2,9,3,31050,0,31050,200,0,2500,23789.98,24289.98,
06,2,3,1,3,31000,0,31000,0,795,576,16839,21489,
03,1,1,2,2,26500,12500,45225,4150,1810,3344.1,116294.1,127092.1,
02,2,1,2,3,30375,24950,55325,50,1395.2,4950,39462.2,45607.2,
02,1,1,4,1,167500,11050,178550,3950,0,13421.3,68884.3,151908.3,
01,2,2,3,3,16675,0,16675,300,240,280,23924.38,25124.38,
02,2,2,3,2,38500,0,38500,100,365,1934,30225,41397,
05,2,3,4,3,63725,0,63725,200,875.15,1688,16136.28,35854.28,
01,2,1,9,2,23500,62500,86000,0,2025,5198,69793.9,82119.9,
03,1,1,4,2,17100,95750,139800,14850,650,9000,74300,109020,
05,2,1,2,3,21500,23750,45250,0,2560,2204,22472.78,24777.78,
04,1,1,3,1,67550,18900,86450,350,900,1572,50141,69848,
04,2,1,1,1,77500,80000,183250,0,1345.49,780,38273.13,81133.13,
03,1,1,9,1,73650,31700,105350,0,1935.52,2333,51843.52,72246.52,
05,1,1,3,3,48500,27500,76000,0,1715,9357.2,36011.52,45911.52,
04,2,3,4,1,85000,0,100225,0,455,312,33343.02,65906.02,
03,1,1,4,1,31925,37800,69725,250,780,1205,49279,61925,
01,2,1,3,1,40000,87500,127500,0,2320,12993,89626,122421,
03,1,3,3,1,110000,0,124625,13951.8,13545.17,6301.44,116016.19,153276.19,
03,2,1,3,1,41750,42900,92000,7600,5150,6762.39,60890.79,78331.79,
03,1,1,4,1,80050,41100,121150,550,392,3772.17,45610.19,83075.19,
03,2,2,1,3,18500,0,18500,0,0,1764,15307,15307,
04,2,1,2,1,16000,40000,56000,0,1645,888,15504,22969.26,
05,2,3,9,3,34800,0,34800,0,0,684,16658,20862,
06,2,3,3,3,26000,0,26000,0,1327,180,12007,12857,
04,1,2,4,2,234550,0,234550,2850,5740.84,930,50654.34,146242.34,
04,1,1,4,1,106600,10375,116975,200,1940,2348,58739.32,98377.32,
03,2,3,9,1,80000,0,80000,0,807.76,7454,70731.68,97268.68,
02,1,1,4,1,44000,47850,91850,0,9655,2040,35342,59758,
04,2,1,2,3,0,24000,24000,0,3800,2040.01,24594.61,26939.61,
02,1,1,1,1,53225,22250,75475,0,3981,1310,43193.48,57300.48,
06,2,1,4,3,59550,28600,96050,0,1370,1212,24502.1,43487.1,
05,2,3,2,3,18500,0,18500,0,156,264,11980.03,12035.03,
03,1,1,2,3,27100,24450,51550,0,1985,610,24721,32527,
06,2,1,1,3,11000,57050,68050,0,0,3732,42275.37,53753.37,
04,1,1,3,1,49575,3400,52975,0,1145,2995,25434,41954,
06,2,3,3,2,29800,0,29800,0,2410,156,32910,36132.77,
06,2,1,2,3,17100,43150,60250,0,2373,720,28215,35035,
02,2,2,3,1,60000,0,60000,0,0,3721,33230.99,43229.99,
03,1,1,3,1,38150,25250,63400,2140,2301,2481,28946,41082.8,
01,2,1,3,2,44750,39050,83800,50,1300,2015,69893,85130,
04,2,1,4,1,70000,95000,165000,0,6670,7361,40064,111056,
04,2,1,3,1,49000,45175,94175,0,3560,4017,85267,110316,
04,1,1,3,2,84800,23500,108300,0,40,1325,39643,74744,
04,1,3,3,1,75500,0,75500,0,1175.1,0,25168.1,47193.1,
03,2,1,4,2,50250,52500,139675,2450,2580,2911,53008,78202,
02,1,2,2,1,70000,0,110150,0,2716.8,980,46904.8,75712.8,
03,1,1,4,1,83275,4925,88200,0,1050,2725,27492.24,50386.24,
03,1,1,4,1,120275,78625,198900,0,1395.1,4640,33136.11,97902.11,
05,1,1,4,3,54900,67550,122450,0,530,320,119802,180852,
03,2,1,4,1,57500,87500,145000,0,4975.2,230,75840.2,125797.2,
04,1,1,3,1,110000,26875,136875,300,9340,2850,82238,122412,
04,1,3,1,1,85000,0,147750,0,487,0,23295,74593,
05,2,3,3,3,61000,0,80000,0,9758,720,36592.4,45692.4,
03,2,2,2,2,21750,0,21750,0,806.8,1408,16574.8,20013.8,
03,1,1,3,1,4975,31100,36075,0,30,1412,38900,42998,
04,1,3,1,1,89800,0,122450,0,1730,1172,30450,55153,
01,1,2,3,2,38000,0,84000,0,530,816,41993,60349,
03,2,2,1,1,37500,0,45700,0,828,504,29294,30052,
03,2,1,4,1,101600,66100,167700,2500,9900.06,8763,74510.06,135713.06,
06,1,1,1,3,35200,55300,90500,0,4882,4652,33325,50975,
06,2,1,3,3,13600,39125,52725,0,561.18,992,20904.42,21559.42,
05,1,1,4,3,65500,48175,113675,0,3230.13,6674,43158.36,70258.36,
05,2,3,4,3,23000,0,23000,0,24100,0,43665,47965,
06,2,1,3,3,27700,67550,95250,0,350,1690,17488.31,35848.31,
03,2,1,3,1,47000,40000,87000,0,2599,3400,35226,60012,
03,1,3,1,1,60400,0,60400,0,3680,1378,30468.91,44611.91,
04,2,1,3,2,39050,83750,122800,0,3800,3173,28973.81,64126.81,
04,1,3,3,1,74000,0,74000,0,3240,12525,25626,45802,
03,2,1,2,2,0,75000,75000,0,3941.4,1884,47556.64,71300.64,
03,2,1,3,2,29500,60500,90000,0,3630,1552,43100.5,64459.5,
03,2,1,3,3,28000,0,28000,100,0,1933,25508,25584,
01,1,2,4,1,21400,0,49850,9250,1200,4101.43,82134.27,89236.27,
02,1,1,2,1,16100,17900,62800,0,4210.5,200,40118.74,41612.74,
06,2,3,2,3,20600,0,20600,0,864,0,26902.75,27522.75,
05,1,3,3,1,82000,0,82000,0,1785,1736,85503.36,112605.36,
05,2,1,2,3,5750,47200,52950,0,3044,936,29948.36,38728.36,
04,1,1,3,2,-7500,34100,26600,0,4020,0,43726,48542,
04,1,1,3,1,185375,350,185725,0,1400.42,1800,42488.05,88717.05,
04,2,1,3,1,29000,28050,57050,0,1625.3,900,18740.17,31217.17,
03,2,1,4,3,2800,135125,137925,1600,1515,4265,63552.12,103873.12,
02,1,1,4,2,87500,29000,116500,16050,925,860,48048.31,69949.31,
03,2,3,4,2,45075,0,45075,1280,895,280,36295,49712,
04,2,2,2,3,12000,0,12000,0,0,228,5936,6341,
03,1,1,1,1,21000,95000,116000,150,1850,300,56856,88684,
01,2,2,3,1,47050,0,47050,0,1305,0,36409,49772,
04,2,1,4,2,39350,77900,117250,4190,3118.72,2877,54256.48,91860.48,
03,2,1,3,2,50750,45000,116000,0,4045,1712,49889,73152.86,
04,1,1,4,1,145050,825,145875,1000,1763.11,9241.15,73253.21,123552.21,
03,2,2,9,3,23000,0,23000,0,120,876,16662,16662,
04,1,3,1,3,13500,0,13500,0,540,0,16369,16519,
03,2,3,2,1,42575,0,42575,0,895,1254,23564,32577,
04,2,1,2,3,7000,33100,40100,0,900,645,28485,35350,
03,1,1,3,1,51450,25050,76500,0,160,0,64642.81,75733.81,
05,2,3,1,3,18500,0,18500,0,600,1140,7830,9630,
01,1,1,4,1,70400,65175,135575,0,745,7011,41517,76001,
02,2,3,2,2,36975,0,36975,0,920,1838,23644,25688,
05,2,3,2,3,35575,0,35575,200,1944,1380,17305,23195,
05,1,1,2,3,16175,11000,27175,0,7280,1212,31327.6,32327.6,
05,2,1,2,1,15200,23500,38700,0,390,2464,17441,18696,
02,1,2,4,1,102000,0,102000,0,2805,2500,34275,68769,
01,1,1,4,1,30150,22000,52150,0,1230,1262,36994.66,44846.66,
01,2,2,4,1,18300,0,111050,0,0,1000.65,61416.25,77473.25,
02,2,2,4,1,92500,0,92500,0,490,2770,32072,64911,
03,1,1,1,3,5250,27000,32250,0,0,120,11663.27,11663.27,
04,1,1,4,3,50000,135500,185500,300,3105.5,1360,132443.5,198749.5,
06,1,1,4,3,53700,40250,93950,0,1095,1808,48084,64134,
02,2,2,3,1,28925,0,48925,0,6290,9488,62499,72362,
03,2,3,2,3,22000,0,22000,50,0,1047,7837,7992,
02,2,1,4,2,54500,60875,115375,0,300,1472,38196,65977,
05,2,1,4,3,46600,70000,116600,750,2869,2986,28229,56829,
03,1,1,3,1,55000,22000,77000,0,2090,6970.03,25167.86,41578.86,
05,2,3,1,3,19600,0,19600,0,96,432,6239,6364,
03,2,1,4,1,65000,38000,103000,0,1090,644,21765,56643,
04,1,1,1,1,42000,37000,99625,0,1440,924,23806,48762,
02,1,2,3,1,37425,0,56425,0,4380,1988,37369.4,44383.4,
04,2,1,2,2,42200,30850,73050,0,890,1020,36741,47435,
04,2,1,1,2,33675,125,83125,250,620.16,0,50984.2,62631.2,
05,1,1,4,3,70550,8200,78750,400,1135.77,2376,27033.48,41613.48,
06,1,1,4,3,113500,63500,177000,0,4530.08,1148.12,92590.8,119590.8,
03,2,2,3,1,20500,0,20500,0,260,816,9689.54,11998.54,
05,1,1,1,3,61600,1550,63150,0,5800,1284,18981.11,27731.11,
01,2,1,2,3,25750,32300,58050,950,1965,365,24546.51,25827.06,
05,2,3,3,3,21000,0,21000,0,854,540,10985,11930,
04,1,1,2,2,44250,45275,89525,0,6664,1318,50448.73,71372.73,
03,1,1,2,1,110050,46000,156050,200,755,2480,75308,123060,
02,2,1,4,3,14050,242900,256950,0,940,3605,61847.05,174091.05,
04,2,3,3,2,114550,0,114550,0,5520.8,1155,38534.26,71728.26,
05,1,1,2,2,75500,27000,102500,720,2023.27,1788,49829.21,83827.21,
05,2,1,1,3,11000,21200,32200,0,415,1980,8451,8701,
02,1,1,3,1,65000,43050,108050,300,3755,3159.69,69826.13,99958.13,
03,1,1,2,1,111300,11725,123025,350,430,11316,41276,83654,
06,1,3,4,3,89000,0,96050,0,3054,480,13839,41839,
03,2,2,2,1,37000,0,37000,2500,2116.06,3381.82,31748.63,38892.63,
03,2,1,2,3,16000,49000,65000,0,7455,1683.08,46640.45,57531.45,
06,1,3,3,3,67500,0,67500,0,0,672,25260.4,32365.4,
